rule,confidence,lift
"{'mineral water', 'eggs'} --> {'milk'}",0.25654450261780104,1.9795100510632797
"{'mineral water', 'milk'} --> {'eggs'}",0.2722222222222222,1.514589515331355
"{'eggs', 'milk'} --> {'mineral water'}",0.42424242424242425,1.7805361957572368
"{'mineral water', 'eggs'} --> {'spaghetti'}",0.2801047120418848,1.6085645791073018
"{'mineral water', 'spaghetti'} --> {'eggs'}",0.23883928571428573,1.3288535926239933
"{'eggs', 'spaghetti'} --> {'mineral water'}",0.3905109489051095,1.638965929931909
"{'mineral water', 'french fries'} --> {'spaghetti'}",0.30039525691699603,1.7250876162920905
"{'french fries', 'spaghetti'} --> {'mineral water'}",0.3671497584541063,1.5409195234503623
"{'frozen vegetables', 'mineral water'} --> {'milk'}",0.30970149253731344,2.3896720103187765
"{'frozen vegetables', 'milk'} --> {'mineral water'}",0.4689265536723164,1.9680745117752507
"{'mineral water', 'milk'} --> {'frozen vegetables'}",0.23055555555555557,2.4184149184149186
"{'frozen vegetables', 'mineral water'} --> {'spaghetti'}",0.3358208955223881,1.9285273479463327
"{'frozen vegetables', 'spaghetti'} --> {'mineral water'}",0.430622009569378,1.8073111761445637
"{'mineral water', 'spaghetti'} --> {'frozen vegetables'}",0.20089285714285715,2.107267732267732
"{'ground beef', 'mineral water'} --> {'milk'}",0.2703583061889251,2.086098041581212
"{'ground beef', 'milk'} --> {'mineral water'}",0.503030303030303,2.1112072035407237
"{'mineral water', 'milk'} --> {'ground beef'}",0.23055555555555557,2.346223428312981
"{'ground beef', 'mineral water'} --> {'spaghetti'}",0.4169381107491857,2.3943612791875135
"{'ground beef', 'spaghetti'} --> {'mineral water'}",0.43537414965986393,1.8272558043922662
"{'mineral water', 'spaghetti'} --> {'ground beef'}",0.2857142857142857,2.9075402209730568
"{'mineral water', 'milk'} --> {'spaghetti'}",0.3277777777777778,1.8823379275140377
"{'mineral water', 'spaghetti'} --> {'milk'}",0.26339285714285715,2.0323522927689597
"{'milk', 'spaghetti'} --> {'mineral water'}",0.44360902255639095,1.8618173862187646
"{'mineral water', 'olive oil'} --> {'spaghetti'}",0.3737864077669903,2.1465528776817973
"{'spaghetti', 'olive oil'} --> {'mineral water'}",0.4476744186046512,1.8788797647089446
"{'mineral water', 'pancakes'} --> {'spaghetti'}",0.33992094861660077,1.9520728289621023
"{'pancakes', 'spaghetti'} --> {'mineral water'}",0.455026455026455,1.9097361011183058
